player_id,session_length,bets_placed,avg_bet_amount,total_loss,deposit_frequency,chasing_losses,rapid_bet_increase,emotional_tilt
34,61,150,412,2927,9,1,1,1
156,111,69,453,3078,4,0,0,0
80,195,152,448,-924,4,0,0,0
81,300,47,429,-1957,5,1,0,1
53,133,90,99,-1346,2,1,0,0
185,65,125,379,-18,10,1,1,1
52,132,32,495,272,0,0,1,0
157,228,170,279,3887,4,0,1,0
26,7,93,388,240,7,0,0,0
18,234,62,227,937,9,0,0,1
142,170,199,419,3732,2,0,0,0
15,219,21,358,2516,10,1,0,0
160,193,124,452,2558,10,1,1,1
191,263,72,60,3250,5,0,1,1
89,222,178,69,-449,2,0,0,0
94,69,155,91,2576,2,0,0,1
108,60,25,390,708,2,1,0,0
174,162,111,310,106,10,0,0,1
138,244,25,29,-511,5,1,0,0
98,72,97,292,1715,10,0,0,0
5,249,20,165,946,0,0,0,1
50,232,134,165,4957,10,1,1,0
137,274,45,288,2110,8,1,0,0
173,16,49,71,1984,1,0,0,1
107,19,69,157,1151,7,1,1,0
165,58,157,260,1525,5,0,1,1
16,16,123,93,720,5,0,1,1
178,257,158,193,3755,0,1,1,0
127,165,14,260,2868,3,1,0,1
113,214,182,299,-1243,0,0,1,1
148,60,3,251,3841,0,1,1,0
113,269,93,486,3331,2,1,1,0
176,270,55,285,2254,10,0,1,0
82,168,101,275,-1039,6,0,0,0
50,198,139,201,4348,6,1,1,1
53,116,105,207,4141,8,0,1,1
139,181,78,221,-1342,8,1,0,1
132,137,66,461,-1502,1,1,0,1
189,10,195,423,706,9,0,0,1
161,68,126,337,213,6,0,1,1
125,162,119,325,-970,4,1,0,1
158,84,140,194,1212,10,1,1,1
108,167,178,40,1244,4,1,1,0
118,167,30,382,1563,7,1,1,0
95,166,140,487,-477,10,0,1,0
70,181,94,264,4993,5,0,0,0
5,258,77,45,4142,8,1,0,0
187,157,110,397,2201,9,1,0,0
78,28,49,452,-1190,3,1,1,1
57,274,128,212,3996,4,0,0,0
66,38,102,452,3331,7,1,1,0
47,90,64,412,-838,3,1,1,0
200,251,1,372,3772,10,1,0,1
129,196,31,416,1263,8,0,0,0
76,252,179,246,-1876,7,1,0,0
178,299,18,266,808,5,1,0,1
90,123,21,367,4174,3,1,1,1
102,250,3,355,2140,0,1,0,1
44,205,192,487,-188,3,1,1,0
148,39,88,285,2149,1,0,0,0
24,185,185,255,2321,5,1,0,0
193,128,180,281,4787,6,0,1,0
112,283,91,341,-837,1,0,0,1
182,63,140,270,3316,10,1,1,0
131,80,21,171,-1687,0,0,0,0
42,237,7,168,777,2,1,0,0
37,291,93,267,859,7,1,1,0
76,48,17,482,1474,6,1,0,0
39,189,37,89,4984,0,0,0,1
125,168,193,321,-1958,7,0,1,1
13,237,36,344,1639,5,1,0,1
72,204,179,278,2086,7,1,0,0
186,243,156,194,3455,7,0,0,1
3,163,172,296,277,5,1,0,1
168,89,108,18,-1993,4,1,1,0
108,111,13,160,-940,8,0,1,0
164,83,142,341,4612,2,1,1,1
193,111,137,124,4778,9,0,0,0
135,159,142,267,4282,8,1,0,1
22,203,32,205,2505,4,0,0,0
46,62,150,315,3382,9,1,0,0
74,293,57,430,-694,7,0,0,1
23,213,195,85,-1808,8,1,0,1
95,151,182,381,2688,1,1,0,0
48,220,76,63,1164,0,1,1,0
123,29,45,377,-1430,3,0,0,1
131,118,61,437,-418,4,1,0,1
179,134,81,95,2985,2,1,1,1
138,147,35,174,463,9,1,0,0
31,106,158,310,1953,9,0,1,0
69,149,11,51,4011,2,1,1,0
184,257,114,192,1798,10,0,1,0
149,60,21,147,3308,3,0,0,0
136,64,158,278,457,0,1,1,0
131,192,131,388,926,2,0,1,1
182,201,93,162,2614,7,0,1,1
172,230,98,422,2304,0,1,1,1
35,16,189,228,1749,4,1,0,1
138,105,33,459,1207,6,1,1,1
185,33,143,384,4468,1,0,0,1
53,155,181,283,818,7,1,0,0
92,155,162,312,4604,9,1,0,1
123,246,172,459,-61,7,1,0,1
1,202,172,181,92,8,0,0,1
181,192,125,443,447,0,0,1,0
195,226,76,395,4831,8,1,0,0
153,178,143,104,2805,2,0,0,1
148,64,191,439,-377,6,1,0,0
18,11,143,108,-25,2,0,0,1
4,162,60,155,1436,1,0,0,0
187,288,67,474,-997,9,0,0,0
145,148,149,500,2613,3,1,1,0
31,228,68,332,3008,4,1,0,1
7,204,26,15,3604,4,0,1,0
165,82,161,456,-1091,9,1,1,1
35,6,199,252,1159,0,0,0,0
86,164,159,414,1955,4,0,0,0
43,291,91,90,443,0,1,0,1
69,127,159,391,-193,4,0,1,1
173,255,65,205,2446,6,0,1,1
124,250,23,22,769,1,0,0,1
71,115,8,141,1717,7,0,1,1
199,91,107,352,3114,5,0,0,0
185,15,34,237,-1326,3,1,0,1
66,144,175,12,4159,2,1,1,0
175,29,126,175,4519,7,0,0,1
170,272,66,32,3421,5,1,0,1
191,95,17,214,116,3,1,0,0
58,174,166,496,1121,1,1,1,1
158,138,198,474,3942,2,0,1,0
86,206,150,411,3319,8,0,1,0
154,27,76,220,1239,6,0,1,0
85,76,185,266,194,2,0,1,0
181,42,41,224,4479,9,1,1,0
45,83,15,101,4429,1,0,1,1
33,88,142,331,156,0,1,1,0
155,212,24,121,-1501,1,1,1,0
2,74,91,230,-4,8,1,1,0
70,154,58,118,-376,3,1,0,1
115,297,123,348,-534,0,1,1,1
13,35,166,61,-1460,5,1,0,1
3,113,155,174,1928,2,1,0,0
28,219,154,436,-1841,9,0,1,1
14,233,88,361,816,0,1,1,1
37,102,125,453,-1372,1,1,1,0
155,48,64,198,-471,9,1,0,1
75,166,197,470,871,7,1,1,0
65,26,16,166,2014,6,1,1,0
10,68,137,388,1853,7,1,1,1
185,21,65,16,4170,9,0,0,1
158,86,110,206,-1432,3,0,1,0
79,167,5,217,2764,9,1,0,1
181,124,10,368,-1952,6,1,0,0
111,156,191,71,1240,0,1,1,1
105,206,41,37,-1442,9,1,0,1
31,34,129,40,2134,2,1,1,1
51,45,78,342,-1661,5,1,0,0
191,221,184,273,612,2,1,0,0
87,55,171,43,-1097,3,0,0,0
29,103,7,354,-1350,2,1,0,0
191,289,147,128,1412,5,0,0,1
61,89,41,379,1174,1,0,1,0
113,55,31,142,1248,3,1,0,1
119,52,84,212,1675,3,0,0,0
135,170,166,376,-1513,10,0,0,1
42,76,12,461,126,6,1,0,1
12,164,98,327,-1572,0,0,0,1
119,183,16,193,-500,1,0,0,0
17,134,80,341,1135,9,1,0,1
104,28,157,142,2070,1,0,0,0
136,7,15,121,96,5,1,0,0
147,25,53,356,4685,3,1,1,0
191,96,58,21,1194,2,0,1,0
30,295,180,101,3090,4,1,1,1
7,107,193,202,3053,7,1,1,0
169,187,151,478,2062,7,0,0,1
51,146,89,380,-1011,8,1,0,0
75,152,10,198,1565,3,0,1,0
128,75,85,350,2890,10,1,0,1
97,219,62,266,4968,2,0,1,1
100,183,106,205,4684,7,1,1,0
176,33,140,232,2229,5,1,0,0
96,233,7,10,3350,9,1,1,1
41,224,4,265,4257,3,1,0,0
166,35,73,152,1875,4,1,1,1
74,145,54,365,-1882,0,0,1,1
186,121,156,304,1872,8,1,1,0
142,184,192,446,-1847,9,1,0,1
76,32,197,47,4428,1,0,1,1
195,190,94,400,-996,1,0,0,0
166,180,139,36,1177,6,1,0,0
44,19,10,294,-1025,9,0,0,1
173,172,132,200,4330,4,0,0,1
184,184,17,445,406,4,0,1,0
180,214,73,297,3577,7,0,1,1
148,52,187,318,-3,2,1,1,0
46,175,141,216,3552,7,1,1,0
183,239,77,113,1392,6,1,1,0
71,86,16,403,950,9,1,1,0
199,263,150,119,-1730,0,1,1,0
123,60,81,231,-1898,2,0,1,1
113,121,146,433,-1735,3,1,1,1
197,243,148,436,251,7,1,0,0
9,21,19,248,-1744,5,1,0,0
80,293,111,390,648,2,0,1,0
27,38,5,462,-159,2,1,1,1
25,285,156,454,3463,3,0,1,0
7,183,156,29,1980,5,0,0,0
68,95,14,205,-564,4,0,1,0
164,212,83,72,1236,4,1,0,0
108,140,124,395,633,0,1,1,1
156,133,81,464,-905,10,1,1,1
111,19,19,161,-1354,1,0,1,1
56,177,170,108,2584,7,0,1,0
34,109,79,226,95,9,1,0,0
185,240,113,119,-1297,1,0,0,0
196,105,196,204,2176,9,0,0,1
145,104,193,482,1199,6,1,0,1
24,165,130,176,2264,3,1,0,1
197,293,122,47,1271,4,0,1,0
64,207,76,205,635,5,0,1,1
25,277,180,421,2410,6,0,1,0
167,233,151,279,-964,9,1,1,0
48,37,188,311,3819,4,1,0,1
61,148,72,47,456,10,1,0,1
35,82,109,376,933,0,1,1,0
113,67,132,177,1339,1,1,0,1
53,44,144,213,4184,5,0,0,1
140,84,73,207,2066,2,1,0,1
148,148,170,304,3988,8,0,1,1
69,201,2,178,275,9,0,1,1
149,108,61,56,2036,10,1,1,0
34,131,72,153,3127,10,0,1,0
120,251,113,19,3755,10,0,1,0
198,168,96,291,3791,5,1,1,0
189,131,183,125,-1803,1,1,0,1
96,163,39,267,3310,4,1,0,1
98,239,200,246,317,0,1,1,1
54,143,33,222,-1996,7,0,0,0
147,77,63,294,-1629,5,0,0,0
200,5,152,46,-1028,4,0,1,1
186,175,70,443,4178,7,0,0,1
124,172,62,491,1855,10,1,0,0
160,181,127,379,-1500,7,1,0,0
13,195,111,398,-1907,6,0,0,0
179,68,157,320,-995,8,0,0,1
153,115,128,119,1371,8,1,1,0
99,109,51,203,-721,0,0,0,0
145,74,119,448,-1351,7,1,1,1
44,173,127,203,-576,7,0,1,1
21,137,81,460,2304,2,1,0,1
190,112,191,121,1748,3,0,1,1
144,97,104,180,1263,2,1,1,1
106,260,61,392,-1620,9,0,1,1
47,110,76,491,-387,5,1,1,0
183,236,100,273,4839,7,1,1,0
156,196,12,64,-447,1,1,0,1
45,262,140,12,2489,7,1,0,1
151,163,119,25,-1316,8,0,0,0
178,129,199,191,-1061,5,0,1,0
140,117,70,470,-1501,0,0,0,1
138,216,123,15,4626,4,1,0,1
193,277,100,489,-615,10,0,0,0
2,152,174,30,-1884,0,1,1,1
199,59,33,465,-1012,9,0,0,0
73,210,105,69,3436,0,1,0,0
187,18,27,61,2370,0,1,1,1
72,215,136,43,1954,2,1,1,1
189,230,166,200,2253,7,1,1,0
72,49,11,111,-377,0,0,1,1
65,278,104,408,-1441,8,1,0,1
165,106,90,110,3789,6,0,1,0
184,184,150,395,3878,0,0,1,1
27,136,177,106,2510,2,0,0,1
12,41,94,237,-1735,1,0,0,0
80,244,38,172,4300,6,0,0,1
180,165,165,183,1180,7,0,0,1
182,282,10,31,2152,6,1,1,0
35,181,150,358,4078,9,0,0,0
172,106,188,196,4378,10,1,0,1
181,212,179,131,2800,2,0,1,0
58,295,152,273,2089,7,0,0,1
74,178,112,60,1152,8,0,0,0
11,202,40,273,1769,5,1,1,1
42,247,81,324,3608,1,1,0,0
33,54,175,129,4011,3,1,1,0
121,50,198,382,231,3,1,0,0
88,273,139,224,-1985,0,1,0,0
125,59,19,499,1058,7,0,0,0
86,40,22,181,2023,5,0,1,0
165,260,59,249,2328,9,1,0,0
132,247,100,85,4739,1,1,1,0
196,28,130,223,2110,10,1,0,0
157,245,48,21,-1412,5,1,1,0
171,55,65,323,1020,0,0,0,1
118,186,79,164,-1601,10,1,0,1
163,95,47,313,427,6,1,1,0
136,29,144,288,3215,2,1,0,0
70,238,108,16,-170,2,1,1,0
75,32,30,254,-1992,9,1,0,1
136,179,142,461,4118,5,1,1,1
165,187,165,390,4940,3,0,0,0
60,116,132,57,4009,2,0,1,1
68,199,3,379,1722,0,1,0,0
154,109,38,352,485,7,1,1,0
61,19,90,56,-432,2,0,1,0
37,176,124,427,417,9,1,1,0
182,93,44,161,-1429,4,1,1,1
11,285,76,440,806,9,1,1,1
45,291,140,124,4414,5,1,1,0
27,142,123,347,1014,7,1,0,0
151,7,77,436,4660,5,1,0,1
101,17,99,42,356,7,1,0,0
155,123,44,71,260,9,0,0,0
22,55,31,290,1712,4,1,1,1
88,107,78,463,-1229,1,1,0,0
4,272,87,57,1766,6,0,0,1
10,295,193,295,955,2,1,1,0
157,69,59,179,4371,6,0,1,1
141,221,63,127,3677,0,0,1,1
165,154,113,33,1586,2,1,1,1
121,202,155,368,1383,7,0,0,0
200,235,180,399,-384,1,0,1,0
65,92,152,217,4974,5,1,0,1
35,38,138,388,3735,4,1,0,1
186,188,65,39,-549,9,0,0,0
173,47,157,387,898,3,1,1,1
146,106,90,383,-1330,2,0,0,1
23,252,79,348,253,10,0,1,0
22,64,135,242,-1482,3,1,0,0
114,264,184,421,2047,0,0,1,1
170,84,52,90,-1377,5,1,1,0
174,110,144,240,1012,1,0,1,1
107,10,2,472,398,9,0,0,0
169,282,149,428,4700,4,1,0,0
163,174,110,120,3498,5,1,0,1
93,266,77,44,3142,7,1,0,1
166,209,48,328,1740,8,0,1,1
81,146,80,86,1926,8,1,0,1
135,235,63,266,-1507,8,1,0,0
23,263,19,169,4284,6,0,0,1
172,208,52,148,-560,8,0,0,1
59,215,200,497,3716,4,0,1,0
19,58,132,158,882,1,0,0,1
185,170,200,72,3623,0,0,1,1
155,181,97,335,1989,9,0,0,1
89,95,40,334,1133,9,0,0,1
120,191,53,202,-910,5,1,0,1
6,227,62,302,-1464,10,1,0,0
134,275,162,47,-1872,8,0,1,0
11,64,119,432,-1108,4,1,1,1
190,219,142,456,-537,10,1,0,1
101,139,18,468,1396,5,0,1,0
74,150,70,242,539,4,0,0,0
28,142,16,269,-1066,1,1,0,1
8,96,23,164,543,4,0,0,0
116,268,103,108,1910,8,0,1,0
72,224,136,18,2485,4,0,0,0
13,94,33,386,-620,10,1,1,1
107,88,125,25,3473,0,1,1,1
147,234,48,287,4247,9,0,1,1
10,295,170,423,436,6,1,0,1
171,17,29,329,-1610,3,0,1,0
97,20,141,402,3213,2,0,1,0
7,189,70,22,3935,4,1,0,1
90,243,154,466,3501,3,1,0,1
198,183,26,221,-1501,3,1,1,0
132,133,44,213,18,8,0,1,1
23,196,98,86,-551,9,0,1,0
111,100,33,301,1379,10,1,1,1
12,282,185,89,2937,10,1,0,0
22,151,91,61,3881,2,0,0,1
98,129,15,80,1958,10,0,0,0
109,94,132,180,-1192,5,0,0,1
118,288,197,25,-869,10,1,0,0
9,86,42,378,-1462,4,0,1,1
140,225,3,343,-1770,3,0,0,0
70,238,49,86,4930,4,1,1,1
70,48,155,331,3160,1,1,1,0
113,16,166,406,-1161,9,1,1,1
15,252,40,455,-376,4,1,0,0
194,69,46,145,1153,7,1,0,0
79,145,118,225,1124,4,1,0,0
27,68,100,314,2104,6,1,1,0
128,121,72,355,2433,5,0,1,0
175,222,197,54,4253,7,1,0,1
198,15,194,282,4442,10,0,0,0
26,236,58,458,4170,5,1,1,0
50,163,173,103,99,4,1,0,1
91,235,180,408,-261,1,1,0,1
101,255,81,364,4187,10,1,0,1
170,274,27,97,4546,0,1,0,1
146,56,196,89,1029,8,1,0,0
63,244,7,382,2406,3,0,1,0
85,9,156,333,4372,1,0,1,0
66,237,86,302,2839,4,0,0,1
29,235,80,116,2265,6,1,1,1
131,291,48,80,154,6,0,0,1
8,32,63,225,-140,4,1,1,0
27,74,44,72,-1337,7,0,1,1
130,59,55,417,2396,3,1,1,0
159,244,159,414,1543,7,1,0,0
43,265,187,272,249,6,1,1,1
132,277,173,351,3568,5,0,1,0
4,160,180,171,-708,4,1,0,0
130,18,109,404,1109,1,1,1,1
173,186,186,15,2451,6,1,0,1
185,209,140,63,1588,3,0,0,0
159,52,148,440,15,3,0,1,1
61,209,132,394,-1471,3,1,0,0
7,42,177,485,2280,5,1,0,1
169,214,115,229,618,9,0,1,1
173,226,80,421,2518,10,1,0,1
175,153,76,255,-977,6,1,0,1
168,138,59,71,4356,2,0,0,1
151,41,166,50,2573,3,0,0,1
82,281,80,432,1432,4,0,0,1
23,30,131,354,3733,7,0,1,1
142,226,36,67,599,7,0,0,1
164,28,132,69,2174,1,1,1,1
98,192,60,38,1460,2,1,1,1
127,86,156,152,3263,5,0,1,1
141,209,24,236,2472,5,1,0,1
11,246,145,160,4973,7,1,0,1
104,6,152,307,-1423,5,0,0,0
103,58,137,311,-1508,9,0,0,1
62,115,1,461,2978,8,1,0,0
92,218,141,140,1261,10,1,1,1
179,21,103,250,-312,6,0,0,1
49,292,174,455,1270,5,0,0,0
105,111,7,169,365,2,1,0,0
157,237,61,359,222,2,0,1,1
84,212,198,403,2380,5,1,1,1
125,244,158,263,-1115,4,0,1,0
176,13,195,247,3560,7,0,1,0
73,129,66,52,-909,3,0,1,0
11,93,147,320,1717,3,1,1,1
11,184,138,211,1245,10,0,0,0
44,262,80,426,-416,2,1,1,0
118,153,55,302,2024,0,1,1,0
42,248,169,37,542,5,0,0,0
31,230,41,112,-259,10,1,1,0
148,156,2,487,-886,6,1,1,0
155,45,109,83,4618,9,1,0,0
131,135,113,385,-1372,10,0,0,0
8,263,73,206,4923,2,1,1,0
65,80,90,119,3148,8,1,1,0
26,52,147,70,-1113,1,1,0,0
43,147,85,229,1815,6,1,1,0
75,283,49,166,244,4,1,0,1
2,100,94,194,-1124,5,1,1,1
157,59,40,467,3889,10,1,0,0
157,196,82,221,-683,0,0,1,0
145,73,194,173,-315,3,0,0,1
154,170,132,84,4584,3,1,1,1
65,147,39,496,615,5,1,1,1
2,35,197,433,4963,9,1,0,1
15,190,196,94,-728,0,1,1,1
118,169,163,283,-1540,3,0,1,1
110,14,28,146,3088,1,0,1,0
3,98,26,286,3614,6,1,0,0
148,8,89,317,526,4,0,1,1
196,191,191,351,4634,2,1,0,0
198,197,188,19,3503,2,1,1,0
121,75,123,277,2877,10,1,0,0
65,228,49,303,2700,10,0,0,1
168,143,112,154,4797,2,1,0,0
65,32,105,155,3826,1,0,0,0
79,240,48,14,-811,1,1,1,1
173,67,6,448,-1000,2,0,1,0
192,35,150,159,-1948,3,0,1,0
143,56,75,88,3210,6,0,1,1
61,16,55,497,2692,7,1,0,1
7,162,102,189,-282,8,1,0,0
68,157,26,234,-1937,6,1,1,1
134,67,24,225,4913,5,1,0,1
156,268,105,351,2340,8,0,1,0
79,128,198,383,4115,8,1,0,1
5,138,193,481,1617,7,0,0,1
101,220,171,296,-180,9,0,0,0
169,43,85,373,2676,7,0,0,0
77,117,83,319,-179,7,0,1,0
136,197,137,23,4231,7,1,0,0
49,284,43,385,-1373,1,1,1,1
4,165,39,251,2346,2,0,0,1
56,35,73,79,2366,7,1,0,0
87,116,116,459,2864,1,0,0,0
132,249,177,83,-1163,6,1,1,0
177,194,46,81,4677,3,1,1,0
76,67,72,305,1917,2,1,1,1
159,144,118,168,-58,3,1,1,0
45,123,1,143,-1553,4,0,1,1
133,253,10,165,3637,2,1,0,0
19,24,192,471,425,2,1,1,1
28,205,140,104,4538,10,0,1,1
103,200,10,51,3471,3,1,1,1
14,107,50,54,1975,5,1,1,1
36,45,181,476,49,2,0,0,1
79,21,19,290,895,6,1,0,0
115,142,46,273,65,5,0,1,0
113,38,84,379,-1565,9,1,1,1
185,74,194,291,-1865,9,0,1,1
102,250,29,191,-456,1,0,0,0
161,273,154,191,-3,2,0,1,0
164,19,147,404,3125,2,1,0,0
113,46,195,341,516,7,1,0,1
23,28,169,380,-1162,2,0,0,0
92,105,147,340,615,5,0,0,0
20,33,172,238,4441,5,1,0,0
191,63,116,90,3130,1,1,1,0
172,75,79,339,-1385,2,0,0,0
117,190,155,453,2924,8,1,0,0
76,278,110,488,4291,10,0,1,0
61,67,163,159,-567,6,1,0,0
189,118,199,448,183,2,0,1,0
16,210,103,124,-1634,3,1,0,1
108,94,165,57,-1852,1,0,0,0
66,191,128,324,4551,9,1,1,0
179,146,23,468,821,10,0,1,1
55,68,151,203,513,8,1,0,1
134,233,133,310,2705,5,1,0,1
75,174,52,80,1432,2,1,1,1
154,57,103,202,282,0,0,0,1
16,283,119,84,4576,5,0,1,1
37,45,35,59,4066,6,1,1,0
78,297,85,477,2601,1,0,1,1
74,58,163,218,-93,9,1,1,0
93,129,114,23,4578,4,0,0,0
53,6,19,221,-1877,6,0,1,1
67,143,25,134,-1610,9,0,0,0
84,273,132,219,-1796,5,1,0,0
161,298,116,309,-67,0,1,0,0
126,136,122,19,3356,4,1,0,0
126,274,157,319,679,3,1,0,0
23,238,127,70,1028,7,0,0,0
129,284,29,135,-1652,10,0,1,0
119,253,63,93,1058,4,1,1,1
187,260,168,147,2517,0,0,1,1
28,144,123,262,-1519,1,0,1,1
59,259,100,314,-1799,5,1,0,1
65,15,22,404,2560,0,0,1,1
168,225,188,325,2898,3,0,0,0
54,208,95,173,4195,10,1,0,1
123,129,80,335,2716,5,0,0,0
145,250,189,54,-763,5,0,1,1
55,57,12,42,2754,1,1,0,1
128,81,157,16,1519,1,1,0,0
10,57,109,420,123,10,0,0,1
33,170,158,444,1916,1,1,0,0
50,226,98,238,-521,7,1,0,1
179,260,153,355,3972,4,0,1,0
11,274,61,298,895,7,1,0,1
106,215,125,188,-1500,6,1,1,1
197,180,82,15,4238,2,1,1,1
86,170,174,409,2418,6,1,0,0
177,191,5,30,1534,2,1,1,0
94,23,92,483,3565,5,1,1,0
114,281,12,460,2236,3,0,0,1
187,178,87,81,-386,2,0,0,0
36,45,188,15,4006,10,0,0,1
117,128,3,122,-1826,6,0,1,1
135,201,146,180,-700,1,0,0,0
157,157,47,352,2780,1,1,1,0
76,199,153,408,-1178,8,1,1,1
102,97,87,396,482,5,1,0,1
27,88,13,290,732,6,1,0,0
169,168,69,225,3864,3,1,1,0
12,175,112,451,4772,0,0,1,0
110,299,128,318,1053,5,0,1,0
195,180,19,295,2715,9,0,1,1
166,149,177,193,-732,0,1,0,0
28,149,187,396,1023,5,1,0,0
22,219,153,97,4207,0,0,0,1
85,214,163,105,3780,10,1,1,1
21,140,121,137,-455,7,0,0,0
135,205,2,383,4260,4,0,1,0
134,240,52,253,-634,3,0,0,0
61,190,38,209,4457,4,1,0,1
12,88,31,341,-574,4,0,1,1
122,238,39,244,2336,3,0,0,0
111,265,166,125,1021,10,0,1,0
163,52,25,117,4962,8,0,1,0
174,110,160,223,2324,2,0,1,1
50,213,170,325,-607,6,1,0,1
12,134,107,291,-1013,5,0,1,0
5,238,56,270,-1593,3,0,0,1
74,71,188,298,-1953,3,0,0,1
122,81,116,467,-1618,2,1,0,0
105,224,102,431,317,9,0,1,1
114,11,93,298,876,4,0,0,0
14,153,93,196,2350,7,1,0,0
166,74,164,390,-1351,8,0,0,0
76,25,105,221,615,6,0,0,1
87,231,150,430,2681,8,1,1,1
196,16,117,50,-905,5,1,1,0
173,92,131,495,-451,5,1,1,1
87,30,171,401,2902,2,0,0,0
56,79,12,81,4008,10,1,1,1
35,63,19,166,939,5,0,1,0
133,106,74,52,1605,10,0,0,1
193,129,183,58,-381,4,1,1,1
6,184,141,264,4298,10,1,1,1
131,206,53,145,3339,9,1,1,0
97,45,120,354,2336,9,1,1,0
112,276,35,29,100,6,1,1,0
195,215,195,356,2613,2,1,0,0
114,284,95,105,-1995,4,0,0,0
197,45,140,88,2992,5,0,0,1
79,29,137,117,4924,4,1,1,0
89,247,31,145,3837,9,0,0,0
169,182,187,301,-669,10,1,0,1
191,52,27,31,221,9,1,1,0
16,103,42,129,817,3,0,0,1
143,76,148,396,1821,7,1,1,0
195,187,14,33,-1612,5,0,0,0
78,13,74,496,2694,4,1,0,1
117,283,84,79,3314,2,1,0,0
3,216,6,326,-269,3,1,0,1
38,284,192,121,-1848,6,1,1,0
193,140,40,464,4112,4,0,0,1
147,94,121,270,827,6,1,1,0
44,293,90,245,2457,6,0,0,1
101,290,137,448,-1065,8,1,1,1
179,287,20,239,3140,9,1,0,0
19,209,136,315,1305,10,0,0,1
33,241,17,38,3105,10,0,0,1
154,117,98,420,4868,2,0,0,0
50,264,101,169,4162,3,0,0,0
116,169,110,196,328,9,1,0,1
94,206,96,188,1351,9,1,0,1
26,226,152,230,1604,1,0,0,0
2,138,104,425,1883,2,0,1,1
178,183,6,53,3205,2,1,1,0
31,133,29,137,-627,9,1,1,1
10,101,31,273,1434,3,0,0,1
47,290,42,303,412,4,1,0,1
